Id,ExcerptPostId,WikiPostId,TagName,Count
338,236199,236198,language-features,149
340,40769,40768,joel-test,12
341,144258,144257,code-complete,20
344,77703,77702,mvc,941
347,,,development-cycle,8
348,,,release,87
353,,,ideology,2
354,,,economics,11
355,,,profession,6
357,47900,47899,scrum,738
359,44143,44142,version-control,954
362,48943,48942,free-time,13
363,170216,170215,communication,226
365,40784,40783,visual-studio-2010,51
367,,,pseudocode,38
374,165799,165798,builds,175
375,,,meetings,28
377,309354,309353,comparison,111
378,179336,179335,problem-solving,88
380,,,recognition,12
383,,,scope-creep,8
385,,,social-networks,35
388,145711,145710,solo-development,62
390,144199,144198,cobol,17
391,49029,49028,design-patterns,4300
392,436887,436886,singleton,138
394,55781,55780,teaching,12
395,,,fonts,18
399,72692,72691,pair-programming,51
404,136902,136901,artificial-intelligence,135
407,,,philosophy,34
408,48551,48550,code-reviews,354
409,56044,56043,frameworks,303
413,167019,167018,contribution,23
414,271388,271387,variables,201
416,,,product-names,4
417,,,time,86
421,229038,229037,operators,85
422,53691,53690,f#,80
427,,,bad-code,28
429,75887,75886,terminology,750
430,179346,179345,inheritance,554
431,142389,142388,versioning,320
432,,,semantics,76
437,137156,137155,scalability,204
441,144195,144194,pointers,137
444,,,osx,24
447,,,iterator,67
450,,,parallelism,92
451,132611,132610,exceptions,481
453,,,product,22
457,,,statistics,60
459,95833,95832,actionscript,19
467,,,feedback,15
469,,,etiquette,30
470,,,portability,41
471,47896,47895,ruby-on-rails,280
472,48546,48545,jquery,214
477,67592,67591,education,125
478,131728,131727,software-craftsmanship,16
480,135391,135390,training,46
482,47890,47889,c,1272
483,84230,84229,objective-c,193
484,133743,133742,cms,74
485,167531,167530,scripting,132
488,,,outsourcing,40
491,67356,67355,scala,239
492,352124,352123,migration,107
494,,,information,33
495,285385,285384,overload,14
498,61604,61603,wpf,259
499,193405,193404,standardization,31
501,167017,167016,beta,15
502,65504,65503,ruby,288
503,179354,179353,google-app-engine,62
506,,,virtualization,34
508,47827,47826,c++,2659
511,84960,84959,go,134
527,112005,112004,maintenance,207
529,435903,435902,research,49
530,,,vulnerabilities,14
533,,,senior-developer,13
536,,,tracking,26
539,,,file-structure,76
541,,,minimal-requirements,4
544,,,top-companies,2
548,,,structural-programming,3
551,,,credits,8
557,190042,190041,mainframe,14
558,,,intel,10
559,,,errors,55
560,133784,133783,nosql,222
561,145045,145044,bash,37
563,74424,74423,perl,69
566,133726,133725,xml,256
567,121107,121106,documentation,621
571,140437,140436,mocking,183
574,,,articles,6
575,294301,294300,sorting,199
577,,,media,8
579,43062,43061,refactoring,720
580,115462,115461,mysql,517
581,390207,390206,declarative-programming,24
584,,,shortcuts,4
587,,,financial,33
590,,,development-methodologies,132
591,136287,136286,oracle,76
595,,,failure,25
598,135899,135898,libraries,375
599,,,collaboration,88
602,133729,133728,orm,274
603,133796,133795,django,207
604,206742,206741,javafx,36
608,206944,206943,recruiting,7
609,79295,79294,design,5001
615,,,web-tools,2
617,,,syntax-highlight,10
619,235310,235309,writing,21
622,,,multi-core,24
626,,,data-types,148
627,411513,411512,cowboy-coding,9
628,179513,179512,visual-basic,25
633,,,budget,15
638,,,plugins,68
639,124389,124388,mercurial,108
641,436881,436880,distributed-computing,158
643,40782,40781,basic,15
644,167341,167340,contract,52
646,,,interruptions,2
649,,,stories,12
650,187020,187019,product-owner,48
651,138444,138443,microsoft,82
655,83023,83022,delphi,65
659,194994,194993,load-testing,14
660,49266,49265,notepad++,4
661,,,customer-relations,55
667,,,platforms,14
669,135197,135196,wcf,162
671,280093,280092,puzzles,20
673,,,cryptography,62
676,,,support,39
680,,,conditions,124
681,136276,136275,naming,640
682,164691,164690,github,349
687,135919,135918,optimization,385
688,167602,167601,jit,33
690,179507,179506,prototyping,73
691,167529,167528,automation,112
694,158159,158158,functions,311
696,,,implementations,99
700,,,bsd,14
703,,,industry,14
704,358597,358596,computer-architecture,61
717,,,changes,28
728,,,services,113
730,276058,276057,jdbc,32
732,67234,67233,mono,33
734,47904,47903,eclipse,58
735,71128,71127,visual-studio,247
736,,,distributed-development,34
738,154470,154469,free-software,45
740,,,binary,87
742,,,code-generation,60
746,111999,111998,requirements,375
748,216861,216860,azure,151
751,,,amazon-ec2,30
755,47886,47885,javascript,2085
756,232519,232518,programming-logic,58
761,167357,167356,language-choice,36
762,136730,136729,cross-platform,135
765,171600,171599,enterprise-architecture,306
768,,,software-updates,64
772,,,forward-compatibility,4
775,179317,179316,workflows,255
781,,,obfuscation,26
785,,,hacking,22
787,47913,47912,silverlight,70
788,,,formal-methods,21
790,112001,112000,architecture,3370
791,64506,64505,gui,248
798,143983,143982,personal-projects,53
802,,,user-group,7
803,,,community,19
808,302180,302179,strings,196
809,136113,136112,debugging,246
811,168230,168229,knowledge,18
813,131988,131987,dvcs,70
815,,,sharepoint,14
817,121325,121324,coding-style,1021
818,81793,81792,kanban,49
819,,,quality-attributes,16
829,436824,436823,entity,124
834,436889,436888,modules,136
837,,,ipad,19
838,,,games,26
840,167339,167338,copyright,179
845,,,professionalism,21
847,49032,49031,database,2057
848,,,sequence,24
849,,,product-features,28
855,182192,182191,lgpl,121
856,436875,436874,composition,166
857,,,headers,76
868,,,time-stamp,9
869,67915,67914,legal,262
871,,,relationships,63
872,288986,288985,smalltalk,17
873,166753,166752,web,249
874,132944,132943,soa,163
876,,,time-tracking,19
879,,,third-party-libraries,112
883,179359,179358,clean-code,493
886,,,jruby,7
887,117777,117776,groovy,35
889,190602,190601,jvm,77
890,,,iis7,7
892,,,codeplex,4
897,,,db2,12
898,,,mind-mapping,5
899,161518,161517,anti-patterns,225
901,,,web-2.0,3
903,,,labels,6
905,165867,165866,specifications,161
907,232742,232741,big-o,133
910,,,email,122
913,204687,204686,static-analysis,54
914,,,hungarian,9
915,,,notation,22
919,146907,146906,internationalization,104
920,58763,58762,entity-framework,371
921,436853,436852,message-queue,229
927,,,elance,3
928,,,side-effect,43
929,234185,234184,reverse-engineering,33
931,,,async,160
933,138954,138953,assertions,45
935,235354,235353,meta-programming,29
947,,,switch-statement,57
948,131445,131444,netbeans,16
950,,,end-user-programming,3
954,135532,135531,html5,183
955,,,flash,33
956,49669,49668,unicode,63
957,54810,54809,ajax,184
958,,,trac,4
959,,,construction,19
962,167021,167020,planning,146
963,436895,436894,interpreters,94
968,,,performance-tools,5
969,194992,194991,stress-testing,4
971,284717,284716,wordpress,38
972,205805,205804,sprint,106
973,151814,151813,sap,8
974,179549,179548,abap,4
978,,,downtime,6
980,209000,208999,domain-model,326
981,232503,232502,remote-desktop,7
983,,,profiling,38
988,263416,263415,code-formatting,59
993,,,seo,19
995,123982,123981,clang,15
996,139857,139856,llvm,14
997,,,specialization,8
998,133722,133721,sql-server,348
1000,,,mfc,12
1001,205269,205268,qt,115
1002,182197,182196,ui,125
1003,293808,293807,directx,6
1004,132954,132953,opengl,60
1005,,,web-framework,81
1007,,,case-studies,7
1008,47906,47905,api,1254
1010,,,grammar,61
1018,,,utilities,15
1020,,,hosting,32
1021,,,web-hosting,26
1022,,,identity,46
1024,81788,81787,lean,22
1025,,,installer,48
1026,336861,336860,dependency-analysis,20
1027,436871,436870,project-structure,188
1037,132604,132603,web-services,603
1038,123944,123943,etl,49
1040,229008,229007,selenium,55
1041,,,gwt,20
1042,49454,49453,android,587
1043,,,workaround,3
1044,258424,258423,vaadin,2
1046,,,keyboard-shortcuts,7
1051,394809,394808,jpa,59
1053,,,usage-statistics,12
1054,,,benchmarking,40
1055,,,ms-pl,8
1057,,,graphics,99
1058,436883,436882,diagrams,150
1059,149572,149571,efficiency,180
1061,,,cluster,55
1062,40774,40773,visual-basic-6,18
1066,232727,232726,deadlines,22
1069,384991,384990,access-modifiers,41
1070,387777,387776,encryption,135
1074,378298,378297,methods,195
1076,,,desktop,6
1082,,,presentation,26
1083,289537,289536,product-management,21
1087,179350,179349,abstraction,214
1088,,,environment,38
1090,403709,403708,recursion,165
1092,167540,167539,jsp,39
1093,,,site-blocking,3
1095,,,nhibernate,31
1098,74728,74727,tdd,649
1099,147907,147906,foss,27
1102,433300,433299,intellij,11
1103,150276,150275,validation,270
1104,234334,234333,control-structures,41
1107,130406,130405,facebook,34
1109,179505,179504,software-as-a-service,82
1110,109608,109607,teamwork,363
1112,179326,179325,domain-driven-design,1514
1113,105468,105467,solid,381
1114,,,pragmatism,13
1115,179338,179337,assembly,167
1116,227976,227975,low-level,71
1118,167015,167014,branching,243
1119,,,scheduling,120
1122,167013,167012,configuration,198
1123,,,gantt-chart,4
1124,179515,179514,e-commerce,87
1128,133736,133735,rest,1511
1130,339906,339905,accessibility,11
1132,,,mockups,9
1133,,,quality,123
1137,,,access,24
1139,,,entrepreneurship,7
1143,147025,147024,chrome,33
1144,179328,179327,theory,158
1145,171465,171464,type-casting,68
1147,,,rdbms,66
1148,229036,229035,persistence,129
1149,134217,134216,xaml,32
1151,,,monodroid,6
1153,284713,284712,apache,60
1157,133807,133806,linq,88
1158,352133,352132,lambda,90
1160,,,wiki,15
1161,237490,237489,redmine,6
1162,,,advantages,3
1163,130666,130665,technical-debt,80
1164,55121,55120,ios,410
1165,40778,40777,team-leader,65
1170,,,team-building,23
1171,,,activity,35
1173,,,diff,20
1175,124157,124156,erlang,40
1176,,,symbian,2
1177,,,gui-design,25
1178,166713,166712,enum,128
1183,199622,199621,sdlc,95
1185,,,delimited-files,3
1186,167536,167535,file-handling,161
1188,,,stored-procedures,61
1189,233975,233974,packages,138
1191,,,product-design,3
1193,361823,361822,metrics,98
1194,,,web-browser,25
1195,,,terms-of-service,11
1197,,,internet,33
1198,,,myth,3
1199,,,messaging,96
1201,340237,340236,pubsub,62
1202,207375,207374,middleware,44
1207,194933,194932,distribution,57
1209,72650,72649,haskell,258
1214,,,ebook,8
1222,196638,196637,data,439
1223,178418,178417,usability,37
1226,,,professional-development,13
1237,352126,352125,enterprise-development,51
1243,,,cassandra,22
1246,,,review,31
1247,,,mentor,10
1249,,,manuals,6
1250,,,production,68
1251,99221,99220,legacy,115
1252,,,dll,49
1253,229742,229741,ansi,8
1255,,,iso,23
1257,337636,337635,captcha,9
1259,261857,261856,reinventing-the-wheel,13
1260,,,unions,8
1261,,,code-organization,108
1265,48844,48843,svn,226
1266,,,attributes,23
1267,436820,436819,modeling,226
1269,350691,350690,networking,241
1273,,,software-evaluation,12
1274,,,mef,10
1275,,,code-layout,11
1276,,,whitespace,19
1280,,,user-control,19
1281,,,desktop-application,93
1282,234190,234189,robotics,12
1283,439231,439230,difference,22
1285,238072,238071,garbage-collection,107
1286,317549,317548,smart-pointer,34
1287,119854,119853,readability,195
1290,86423,86422,asp.net-mvc,554
1291,,,methodology,113
1294,134617,134616,user-interface,203
1296,,,porting,48
1301,166834,166833,winforms,108
1302,138781,138780,application-design,140
1310,,,pitfalls,5
1313,,,app,56
1315,167353,167352,invariants,24
1321,,,aesthetics,2
1322,,,declarative,9
1331,134627,134626,data-structures,877
1332,,,binary-tree,54
1333,,,idioms,38
1334,,,business-logic,169
1335,,,business-rules,64
1336,,,rules-and-constraints,40
1337,,,constructs,3
1338,84905,84904,documentation-generation,52
1339,,,wysiwyg,7
1343,,,visual-c++,23
1344,244548,244547,compiler,478
1345,,,design-principles,67
1346,189071,189070,data-mining,27
1348,131864,131863,nunit,22
1349,,,xhtml,18
1350,158719,158718,windows-phone-7,32
1351,104482,104481,licensing,1339
1354,179348,179347,mvvm,269
1356,,,system-reliability,22
1357,345003,345002,sockets,132
1366,,,import,32
1368,49054,49053,git,1133
1370,133718,133717,bug,141
1377,436856,436855,encapsulation,202
1378,,,chart,7
1381,,,android-market,22
1384,,,clearcase,7
1385,232526,232525,mdd,12
1386,,,lazy-initialization,37
1387,252223,252222,type-systems,163
1390,95835,95834,flex,12
1391,103975,103974,bdd,140
1393,155251,155250,source-code,269
1396,,,handheld,2
1402,,,copy-paste-programming,11
1407,337092,337091,concepts,117
1408,,,software-schedules,8
1412,80528,80527,qa,121
1413,,,aptana,2
1416,133791,133790,zend-framework,45
1417,171377,171376,cakephp,17
1418,319738,319737,codeigniter,42
1422,,,imagemagick,3
1424,139737,139736,grails,22
1426,,,64-bit,20
1427,,,32-bit,13
1430,79405,79404,xcode,37
1434,182188,182187,dba,6
1437,,,publications,6
1439,300557,300556,gcc,40
1440,,,templates,124
1441,,,freeware,8
1442,,,pyqt4,8
1445,121111,121110,drupal,15
1448,415969,415968,technical-support,21
1454,361757,361756,synchronization,191
1457,,,vi,4
1461,136726,136725,admob,1
1463,,,advertisement,10
1464,145708,145707,game-development,235
1465,,,simulation,57
1466,,,demonstration,5
1468,118903,118902,internship,28
1472,,,ria,7
1473,213249,213248,clr,25
1474,,,protocol,82
1479,287778,287777,null,121
1485,143945,143944,junior-programmer,84
1492,,,friends,4
1493,84223,84222,database-design,1276
1495,,,privacy,36
1500,,,mootools,3
1501,362484,362483,patterns-and-practices,355
1503,,,development-approach,30
1506,138422,138421,dependency-injection,631
1512,179334,179333,node.js,491
1521,227978,227977,high-level,24
1522,,,visual-studio-2008,4
1525,,,coupling,146
1527,182195,182194,http,369
1528,,,tcp,85
1531,,,online-identity,6
1535,132602,132601,web-design,42
1539,,,type-safety,28
1540,,,weak-typing,9
1543,155224,155223,localization,71
1547,313524,313523,copy-protection,20
1548,,,ironpython,4
1554,137907,137906,startup,56
1557,,,code-kata,5
1560,361784,361783,search,168
1561,283275,283274,law,15
1563,335972,335971,systems-analysis,55
1571,,,language-discussion,11
1572,339616,339615,command-line,66
1573,,,editor,15
1575,347059,347058,systems,6
1576,,,projects-and-solutions,53
1579,,,monad,44
1581,229006,229005,cucumber,24
1582,165151,165150,specflow,18
1583,,,xauth,2
1585,,,active-directory,23
1586,,,easter-eggs,2
1592,,,dom,34
1595,154830,154829,dsl,46
1596,167538,167537,runtime,69
1599,,,swing,54
1600,163904,163903,maintainability,136
1601,,,measurement,27
1604,,,change,18
1606,,,xna,5
1611,,,msbuild,13
1612,,,commandline-build-tool,8
1615,,,software-distribution,31
1617,,,transition,7
1620,305446,305445,utf-8,20
1621,,,character-encoding,57
1625,166731,166730,intellisense,9
1626,,,backward-compatibility,43
1631,,,file-extension,7
1632,210094,210093,closures,49
1638,229031,229030,hashing,162
1639,303125,303124,strategy,80
1642,191954,191953,r,34
1643,117272,117271,matlab,34
1645,134615,134614,user-experience,130
1647,,,rewrite,54
1652,137504,137503,generics,155
1653,,,system,37
1655,,,offshore,9
1656,389517,389516,bsd-license,101
1657,178500,178499,mit-license,157
1658,143967,143966,ecmascript,27
1660,,,industry-standard,21
1662,263175,263174,patents,14
1663,,,trademark,6
1664,350559,350558,evaluation,18
1666,284715,284714,iis,38
1667,143889,143888,virtual-machine,115
1670,196114,196113,python-3.x,147
1671,386712,386711,abstract-class,117
1674,229033,229032,x86,40
1677,,,knowledge-management,10
1678,283671,283670,knowledge-base,15
1679,,,sample,3
1681,144319,144318,firefox,21
1682,117338,117337,standards,163
1683,,,w3c,11
1684,,,count,6
1685,322573,322572,aggregate,161
1686,,,dbms,11
1687,365403,365402,web-scraping,44
1688,,,crawlers,5
1689,,,forms,30
1690,,,dictionary,54
1691,47884,47883,fortran,26
1693,,,export,15
1694,,,standard-library,21
1697,,,ssl,35
1704,,,intellectual-property,25
1705,,,date-format,32
1706,,,formatting,30
1707,,,ambiguity,8
1708,,,reflector,2
1709,,,windows-7,12
1710,,,joomla,9
1713,,,appstore,53
1714,,,image-manipulation,40
1716,167440,167439,engineering,110
1717,221527,221526,namespace,96
1718,,,file-storage,54
1719,166741,166740,class-design,434
1721,,,bpm,13
1723,390105,390104,business-process,29
1724,,,postfix,10
1727,179344,179343,development-environment,141
1737,307596,307595,certificate,23
1738,,,touchscreens,6
1739,144111,144110,asp.net-mvc-3,48
1740,,,code-snippets,7
1741,,,client-side,81
1742,167005,167004,server-side,104
1744,,,desktop-development,12
1750,167346,167345,unix,58
1751,,,color,25
1752,,,ipv6,5
1753,233224,233223,future-proof,16
1756,130382,130381,java-ee,149
1757,144116,144115,error-handling,298
1758,289153,289152,real-time,119
1761,358721,358720,repository,247
1763,289028,289027,human-factors,6
1765,,,noise,5
1766,134625,134624,caching,242
1767,133720,133719,issue-tracking,153
1768,167009,167008,backlog,15
1773,,,rational-unified-process,14
1779,,,content-management,24
1781,,,toolkit,3
1783,167527,167526,developer-tools,18
1786,170233,170232,client-relations,115
1791,115554,115553,natural-language-processing,43
1795,108357,108356,continuous-integration,355
1796,409951,409950,dependencies,203
1797,91991,91990,maven,100
1798,,,commercial,78
1801,,,visio,6
1803,,,finite-state-machine,118
1804,140916,140915,parsing,291
1805,47880,47879,hl7,6
1808,,,micro-isvs,3
1809,,,product-development,4
1813,167007,167006,object-oriented-design,1646
1815,366142,366141,ant,9
1816,,,xunit,20
1817,,,hudson,5
1818,78142,78141,integration-tests,269
1820,,,doctrine,15
1822,79138,79137,clojure,91
1826,440922,440921,microsoft-access,21
1827,,,neural-networks,44
1832,,,wording,15
1833,,,windows-registry,8
1835,379136,379135,ocaml,12
1836,,,numerical-equations,5
1838,,,software-obsolescence,4
1844,218991,218990,inversion-of-control,135
1845,,,ioc-containers,50
1846,110031,110030,machine-learning,135
1847,67587,67586,c99,12
1854,199413,199412,prolog,19
1855,167546,167545,proprietary,22
1857,171061,171060,storage,133
1858,,,linux-kernel,23
1861,,,negotiation,7
1862,119309,119308,jenkins,58
1864,242880,242879,apache-license,96
1867,,,ssd,3
1869,,,bcl,5
1870,180646,180645,couchdb,15
1871,206740,206739,mpl,21
1872,167534,167533,layers,178
1874,,,forum,5
1879,,,delegates,44
1881,179340,179339,memory,302
1882,,,initialization,52
1883,,,default-values,18
1884,,,journal,7
1885,,,im,2
1888,,,gpu,26
1891,,,n-tier,87
1897,,,stack-oriented,7
1898,,,rdms,4
1899,235647,235646,decompile,10
1900,306498,306497,scrum-master,33
1903,163390,163389,api-design,1080
1908,,,browser-compatibility,23
1909,,,code-metrics,28
1910,,,cyclomatic-complexity,34
1911,,,tests,21
1914,,,resharper,15
1915,,,linux-development,21
1917,,,sql-server-ce,2
1918,,,sp1,2
1920,,,systems-programming,16
1924,,,rss,9
1925,,,atom,6
1930,,,spreadsheet,11
1931,,,excel,57
1932,213246,213245,hadoop,23
1940,142046,142045,cli,34
1942,,,multilingual,13
1944,167350,167349,imperative-languages,11
1945,,,ibm,10
1948,,,logic-programming,20
1951,,,feature-requests,14
1954,,,prefix,7
1964,,,polyglot,11
1970,389830,389829,workflow-foundation,10
1978,,,company,17
1981,225451,225450,3d,35
1982,,,animation,18
1983,,,reading-code,17
1985,,,service-bus,36
1986,,,leadership,13
1987,,,automatic-update,13
1991,,,code-sample,7
1992,64079,64078,continuous-delivery,113
1994,,,grid-computing,6
1996,126828,126827,tomcat,38
1997,389515,389514,postgres,137
1998,389529,389528,hibernate,84
2000,,,creative-commons,35
2002,188241,188240,stm,3
2006,349039,349038,symfony,30
2011,,,comet,6
2012,,,push,25
2015,133724,133723,cloud-computing,137
2016,227963,227962,bitwise-operators,56
2032,67159,67158,lua,28
2033,,,binding,33
2034,181165,181164,sicp,14
2040,178198,178197,gitflow,135
2044,286501,286500,ssis,11
2045,,,closed-source,60
2053,145719,145718,backups,33
2055,,,markup,19
2057,,,escaping,11
2058,,,lamp,13
2065,375650,375649,relational-database,375
2069,,,stub,17
2072,169866,169865,extreme-programming,59
2074,284711,284710,file-systems,97
2076,,,document,13
2081,,,tsql,27
2083,163468,163467,interfaces,698
2085,,,extensibility,49
2088,287202,287201,crm,12
2103,,,permissions,90
2104,,,authorization,168
2110,,,data-warehouse,30
2111,,,trust,7
2116,,,technical-manuals,3
2120,99215,99214,ada,8
2128,225453,225452,adobe,4
2133,,,playframework,15
2137,,,role,7
2138,312719,312718,division-of-labor,9
2139,,,test-automation,67
2140,,,reporting,52
2141,,,report-generation,13
2143,,,information-presentation,11
2145,170236,170235,multithreading,663
2148,,,risk,13
2149,124565,124564,stl,28
2150,,,boost,26
2154,176213,176212,json,351
2155,105633,105632,csdp,3
2159,,,struts,4
2161,,,upgrade,26
2162,,,schema,86
2166,,,duck-typing,21
2176,,,extension-method,21
2179,,,cross-browser,17
2180,,,oauth,56
2181,286895,286894,authentication,404
2184,118634,118633,ubuntu,22
2186,,,text-encoding,25
2189,,,tablets,7
2196,308017,308016,configuration-management,103
2201,202553,202552,bug-report,37
2203,289539,289538,retrospective,9
2210,,,geospatial,31
2224,,,sql-injection,14
2227,,,hierarchy,49
2228,360678,360677,tagging,29
2232,,,scope,74
2237,179352,179351,release-management,184
2238,,,blackberry,4
2239,387685,387684,ado.net,13
2240,436893,436892,transaction,108
2242,,,eula,13
2248,92651,92650,rad,11
2252,339561,339560,service,78
2262,,,secure-coding,15
2266,386866,386865,np-complete,9
2268,122868,122867,windows-8,35
2276,162493,162492,fpa,5
2278,361786,361785,query,73
2282,,,numeric-precision,33
2284,,,msdn,7
2285,290723,290722,model,121
2287,,,xslt,22
2290,134332,134331,redis,84
2293,158111,158110,pagination,38
2303,287617,287616,jira,55
2315,,,program,10
2317,212783,212782,defensive-programming,26
2324,224731,224730,mvp,113
2325,,,chat,25
2327,222401,222400,soap,59
2334,,,codefirst,19
2336,436877,436876,immutability,158
2348,,,defect,21
2353,310215,310214,ftp,19
2358,123520,123519,cqrs,287
2363,387427,387426,parallel-programming,71
2367,,,login,82
2368,,,final,22
2374,89713,89712,csda,3
2375,,,business-intelligence,14
2378,,,case-insensitivity,5
2380,,,audit,23
2383,377738,377737,trees,159
2386,,,text-processing,55
2388,,,pdf,27
2395,,,access-control,63
2396,,,cocoa,14
2399,312202,312201,array,214
2404,,,user-interaction,17
2407,,,risk-assesment,5
2409,,,properties,84
2414,,,geometry,62
2420,,,auto-completion,9
2423,206994,206993,normalization,60
2432,,,verification,52
2435,166830,166829,server,252
2436,,,webforms,58
2444,,,type-conversion,27
2447,,,designer,5
2449,159190,159189,ooad,22
2452,,,error-detection,24
2454,,,translate,21
2457,159117,159116,pascal,19
2462,244468,244467,d,7
2465,112132,112131,user-story,167
2469,,,non-disclosure-agreement,10
2470,,,http-request,108
2471,,,http-response,64
2473,213079,213078,dao,55
2475,212420,212419,task,26
2477,,,web-crawler,22
2478,,,wikipedia,8
2479,,,numbers,70
2482,199601,199600,definition,66
2488,,,octal,3
2495,,,ooda,2
2497,299352,299351,cmake,30
2499,377780,377779,architectural-patterns,374
2502,,,object,92
2503,285120,285119,class,287
2507,,,big-theta,6
2510,289541,289540,project-planning,33
2513,258582,258581,genetic-algorithms,44
2518,,,manual-testing,18
2524,,,agpl,46
2528,,,system-architecture,17
2529,260214,260213,payment,34
2531,,,multiple-inheritance,50
2533,,,sinatra,5
2534,158165,158164,class-diagram,164
2537,365586,365585,reflection,51
2538,179503,179502,c++11,173
2542,102655,102654,phpstorm,4
2551,102657,102656,sdk,27
2557,102082,102081,barcode,6
2558,102202,102201,career-development,70
2560,,,custom-control,5
2565,112126,112125,product-backlog,32
2569,229041,229040,use-case,206
2578,109266,109265,dry,145
2579,344716,344715,domain-specific-languages,11
2580,,,automatic-programming,5
2583,,,membership-provider,3
2586,156444,156443,razor,18
2587,,,multitasking,16
2592,,,order,19
2593,,,map,63
2594,,,visualization,20
2595,,,static-methods,96
2596,,,integration,80
2597,,,unit-of-work,43
2600,,,rationale,2
2608,,,cocomo,10
2609,373302,373301,flow,7
2612,,,p2p,22
2617,303417,303416,multi-platform,28
2619,,,roles,38
2623,167344,167343,networks,55
2625,,,observer-pattern,85
2629,,,visual-foxpro,4
2636,166710,166709,metro,16
2637,108544,108543,winrt,15
2638,,,suffix-trees,3
2647,336823,336822,https,32
2648,278493,278492,exception-handling,139
2652,,,files,62
2653,362561,362560,compression,64
2654,,,indexing,67
2656,388288,388287,code-security,37
2657,366413,366412,flask,38
2660,,,multitenancy,77
2661,156965,156964,android-development,110
2663,,,latency,24
2667,,,make,21
2669,110888,110887,event-programming,225
2671,,,sequence-diagram,70
2673,,,graph-traversal,54
